,Topic,Word,P
1225,61,der,0.017900658771395683
1226,61,garth,0.01637941598892212
1227,61,dot,0.01384461298584938
1228,61,matthew,0.013312269933521748
1229,61,welsh,0.01310175284743309
1230,61,rip,0.012785102240741253
1231,61,hollis,0.011660842224955559
1232,61,harley,0.011498921550810337
1233,61,madge,0.01135555561631918
1234,61,carter,0.010482228361070156
1235,61,isabella,0.008348158560693264
1236,61,stuart,0.00814683735370636
1237,61,clayton,0.007711478509008884
1238,61,cum,0.0066986167803406715
1239,61,leech,0.006465587764978409
1240,62,train,0.04704681783914566
1241,62,car,0.04093000292778015
1242,62,railroad,0.03621678054332733
1243,62,railway,0.0319008007645607
1244,62,station,0.030919484794139862
1245,62,road,0.024765893816947937
1246,62,line,0.018229009583592415
1247,62,mile,0.014824427664279938
1248,62,passenger,0.01366700604557991
1249,62,track,0.010949788615107536
1250,62,telegraph,0.010933458805084229
1251,62,travel,0.00955989956855774
1252,62,rail,0.00905602052807808
1253,62,run,0.008811544626951218
1254,62,hour,0.007141209207475185
1255,62,wire,0.0065271202474832535
1256,62,time,0.0063516064547002316
1257,62,stop,0.006094334647059441
1258,62,freight,0.00604200828820467
1259,62,conductor,0.005986317526549101
1260,63,word,0.0312458835542202
1261,63,language,0.02350935898721218
1262,63,english,0.020655255764722824
1263,63,use,0.016425782814621925
1264,63,name,0.013718117028474808
1265,63,speak,0.008701820857822895
1266,63,make,0.007770121097564697
1267,63,french,0.007250342518091202
1268,63,write,0.007221811916679144
1269,63,speech,0.006337251514196396
1270,63,call,0.005932060535997152
1271,63,give,0.005930411629378796
1272,63,find,0.005830711219459772
1273,63,phrase,0.005344850476831198
1274,63,mean,0.005183385219424963
1275,63,latin,0.005161836743354797
1276,63,meaning,0.0050377873703837395
1277,63,know,0.0048249512910842896
1278,63,first,0.0048065753653645515
1279,63,form,0.004706205800175667
1280,64,marie,0.1205613762140274
1281,64,moses,0.04181142896413803
1282,64,michel,0.03631225600838661
1283,64,evelyn,0.02141793817281723
1284,64,audrey,0.015788964927196503
1285,64,george,0.014677138067781925
1286,64,gloria,0.013623779639601707
1287,64,griggs,0.012714101001620293
1288,64,dalrymple,0.011705884709954262
1289,64,haward,0.009257610887289047
1290,64,tulip,0.008294537663459778
1291,64,voss,0.006591997109353542
1292,64,reanda,0.005899091716855764
1293,64,dor,0.0056785596534609795
1294,64,francesca,0.00528238620609045
1295,64,scotchman,0.005185572896152735
1296,64,adrian,0.005143037997186184
1297,64,taku,0.005057414993643761
1298,64,urmand,0.004994039889425039
1299,64,byrd,0.004853180143982172
1300,65,helena,0.022593310102820396
1301,65,coin,0.022095898166298866
1302,65,pedro,0.018924659118056297
1303,65,mint,0.013816309161484241
1304,65,seor,0.013084822334349155
1305,65,gold,0.011445767246186733
1306,65,sicily,0.011362152174115181
1307,65,bullion,0.011124186217784882
1308,65,domingo,0.009609426371753216
1309,65,saul,0.009566311724483967
1310,65,silver,0.009557037614285946
1311,65,del,0.009311108849942684
1312,65,hubert,0.009251902811229229
1313,65,ramirez,0.009153389371931553
1314,65,sicilian,0.008318064734339714
1315,65,doa,0.007340336684137583
1316,65,ashley,0.00728054391220212
1317,65,barrington,0.0069213868118822575
1318,65,pablo,0.006209380924701691
1319,65,chetwynd,0.006026138551533222
1320,66,spanish,0.04543239623308182
1321,66,mexico,0.04033772647380829
1322,66,mexican,0.03264574706554413
1323,66,american,0.01791628636419773
1324,66,spain,0.01595158502459526
1325,66,spaniard,0.01505744457244873
1326,66,texas,0.011344365775585175
1327,66,state,0.008263550698757172
1328,66,country,0.007812137249857187
1329,66,juan,0.0077044484205543995
1330,66,city,0.0066323308274149895
1331,66,rio,0.0063310787081718445
1332,66,general,0.006246800068765879
1333,66,united,0.0060665239579975605
1334,66,make,0.006027504336088896
1335,66,santa,0.005932008847594261
1336,66,government,0.0052289511077106
1337,66,burr,0.005054634530097246
1338,66,take,0.005009341984987259
1339,66,grande,0.00500917062163353
1340,67,jules,0.03476787358522415
1341,67,newman,0.03419061377644539
1342,67,amanda,0.024326741695404053
1343,67,field,0.014531795866787434
1344,67,betsey,0.014281060546636581
1345,67,tress,0.013637742958962917
1346,67,betsy,0.013066033832728863
1347,67,bellegarde,0.007237430661916733
1348,67,felice,0.006957073230296373
1349,67,tinker,0.006929847877472639
1350,67,valentin,0.006456093862652779
1351,67,margaretta,0.006110679358243942
1352,67,dodd,0.005906608887016773
1353,67,mr,0.005725990515202284
1354,67,make,0.005528855137526989
1355,67,tangier,0.0053775496780872345
1356,67,marina,0.005272551905363798
1357,67,pinkerton,0.005091548897325993
1358,67,look,0.004970154725015163
1359,67,mandy,0.0048535973764956
1360,68,amos,0.016811689361929893
1361,68,bayard,0.013433023355901241
1362,68,chinaman,0.01044659037142992
1363,68,chinese,0.00920063629746437
1364,68,malay,0.008195983245968819
1365,68,ted,0.008076000958681107
1366,68,robertson,0.007873157039284706
1367,68,jungle,0.007159114815294743
1368,68,red,0.006297309882938862
1369,68,ofcer,0.0058001368306577206
1370,68,lopez,0.005785265471786261
1371,68,rajah,0.00567470770329237
1372,68,cooly,0.00562986359000206
1373,68,mandarin,0.005365394521504641
1374,68,helmet,0.00526076415553689
1375,68,bamboo,0.005254597868770361
1376,68,bullock,0.005243457853794098
1377,68,green,0.004853963851928711
1378,68,singapore,0.004579055123031139
1379,68,back,0.004561584442853928
1380,69,sir,0.04569704085588455
1381,69,joseph,0.02553914301097393
1382,69,mason,0.021992458030581474
1383,69,lady,0.01682458072900772
1384,69,edith,0.016737138852477074
1385,69,graham,0.00872467365115881
1386,69,know,0.006911757867783308
1387,69,make,0.006560038309544325
1388,69,marian,0.005876289680600166
1389,69,word,0.005841179750859737
1390,69,come,0.005487652495503426
1391,69,crosbie,0.005329842213541269
1392,69,well,0.005189570132642984
1393,69,much,0.005109376274049282
1394,69,julia,0.004931751638650894
1395,69,thing,0.004824329167604446
1396,69,think,0.004757903981953859
1397,69,man,0.004552158527076244
1398,69,dalton,0.004510615952312946
1399,69,madeline,0.004494111984968185
1400,70,ter,0.03045399859547615
1401,70,yer,0.01507082674652338
1402,70,hev,0.011270305141806602
1403,70,war,0.01048643235117197
1404,70,air,0.010248514823615551
1405,70,thar,0.00975113082677126
1406,70,git,0.009423941373825073
1407,70,fur,0.009263883344829082
1408,70,thet,0.008235139772295952
1409,70,jest,0.007393423467874527
1410,70,eye,0.007035607472062111
1411,70,goin,0.00657687708735466
1412,70,look,0.005961393006145954
1413,70,man,0.005803370848298073
1414,70,know,0.00574779137969017
1415,70,face,0.005326834507286549
1416,70,old,0.0052187805995345116
1417,70,hed,0.004985244013369083
1418,70,never,0.004869258031249046
1419,70,see,0.00486518582329154
1420,71,virginia,0.05955731123685837
1421,71,gladden,0.03246886283159256
1422,71,venus,0.03153543546795845
1423,71,doc,0.030528709292411804
1424,71,drake,0.024222413077950478
1425,71,taft,0.017143001779913902
1426,71,air,0.016891542822122574
1427,71,roden,0.016461044549942017
1428,71,boin,0.013356590643525124
1429,71,lum,0.01174540352076292
1430,71,virginian,0.01101281214505434
1431,71,herrick,0.010094343684613705
1432,71,euphemia,0.009993054904043674
1433,71,cornelia,0.00967195350676775
1434,71,juggler,0.008160008117556572
1435,71,wegg,0.0073426710441708565
1436,71,royce,0.00718443701043725
1437,71,sims,0.006577115040272474
1438,71,cain,0.006540483795106411
1439,71,boa,0.006531302351504564
1440,72,sylvia,0.021644489839673042
1441,72,walter,0.016503524035215378
1442,72,skinner,0.010901803150773048
